run burst level fpga energy timestamp finetime
6089.0 956527 l3 SL 771.0 80000554.0 42.0
6089.0 956527 l3 SL 432.0 80000662.0 170.0
6089.0 956527 l3 SL 942.0 80000816.0 42.0
6089.0 956527 l3 SL 594.0 80000816.0 106.0
6089.0 956527 l3 SL 395.0 80000836.0 42.0
6089.0 956527 l3 SL 527.0 80001279.0 170.0
6089.0 956527 l3 SL 396.0 80001338.0 42.0
6089.0 956527 l3 SL 406.0 80001573.0 42.0
6089.0 956527 l3 SL 424.0 80001952.0 106.0
6089.0 956527 l3 SL 449.0 80002370.0 42.0
6089.0 956527 l3 SL 385.0 80002371.0 42.0
6089.0 956527 l3 SL 403.0 80002448.0 42.0
6089.0 956527 l3 SL 381.0 80002662.0 106.0
6089.0 956527 l3 SL 423.0 80002691.0 170.0
6089.0 956527 l3 SL 666.0 80002835.0 42.0
6089.0 956527 l3 SL 361.0 80002869.0 234.0
6089.0 956527 l3 SL 410.0 80003140.0 42.0
6089.0 956527 l3 SL 393.0 80003174.0 42.0
6089.0 956527 l3 SL 362.0 80003174.0 106.0
6089.0 956527 l3 SL 502.0 80003241.0 106.0
6089.0 956527 l3 SL 823.0 80003324.0 42.0
6089.0 956527 l3 SL 533.0 80003587.0 234.0
6089.0 956527 l3 SL 560.0 80003794.0 42.0
6089.0 956527 l3 SL 436.0 80004054.0 170.0
6089.0 956527 l3 SL 599.0 80004123.0 170.0
6089.0 956527 l3 SL 514.0 80004367.0 106.0
6089.0 956527 l3 SL 521.0 80004393.0 106.0
6089.0 956527 l3 SL 955.0 80004517.0 234.0
6089.0 956527 l3 SL 480.0 80004735.0 170.0
6089.0 956527 l3 SL 472.0 80004735.0 234.0
6089.0 956527 l3 SL 433.0 80004793.0 170.0
6089.0 956527 l3 SL 560.0 80005017.0 106.0
6089.0 956527 l3 SL 423.0 80005017.0 170.0
6089.0 956527 l3 SL 490.0 80005082.0 170.0
6089.0 956527 l3 SL 409.0 80005157.0 42.0
6089.0 956527 l3 SL 536.0 80005435.0 106.0
6089.0 956527 l3 SL 551.0 80005480.0 234.0
6089.0 956527 l3 SL 538.0 80005526.0 106.0
6089.0 956527 l3 SL 472.0 80005602.0 106.0
6089.0 956527 l3 SL 457.0 80005639.0 234.0
