run burst level fpga energy timestamp finetime
6235.0 41446 l3 SL 816.0 80000282.0 170.0
6235.0 41446 l3 SL 437.0 80000282.0 234.0
6235.0 41446 l3 SL 805.0 80000287.0 170.0
6235.0 41446 l3 SL 376.0 80000287.0 234.0
6235.0 41446 l3 SL 672.0 80000290.0 234.0
6235.0 41446 l3 SL 727.0 80000303.0 234.0
6235.0 41446 l3 SL 536.0 80000373.0 106.0
6235.0 41446 l3 SL 616.0 80000380.0 170.0
6235.0 41446 l3 SL 550.0 80000383.0 106.0
6235.0 41446 l3 SL 913.0 80000384.0 42.0
6235.0 41446 l3 SL 537.0 80000425.0 234.0
6235.0 41446 l3 SL 830.0 80000431.0 106.0
6235.0 41446 l3 SL 573.0 80000448.0 170.0
6235.0 41446 l3 SL 670.0 80000492.0 42.0
6235.0 41446 l3 SL 392.0 80000500.0 42.0
6235.0 41446 l3 SL 437.0 80000633.0 170.0
6235.0 41446 l3 SL 877.0 80000659.0 234.0
6235.0 41446 l3 SL 647.0 80000673.0 170.0
6235.0 41446 l3 SL 590.0 80000704.0 234.0
6235.0 41446 l3 SL 401.0 80000752.0 106.0
6235.0 41446 l3 SL 776.0 80000837.0 42.0
6235.0 41446 l3 SL 576.0 80000856.0 234.0
6235.0 41446 l3 SL 726.0 80000868.0 42.0
6235.0 41446 l3 SL 392.0 80001019.0 106.0
6235.0 41446 l3 SL 593.0 80001083.0 234.0
6235.0 41446 l3 SL 925.0 80001143.0 234.0
6235.0 41446 l3 SL 405.0 80001144.0 42.0
6235.0 41446 l3 SL 530.0 80001152.0 170.0
6235.0 41446 l3 SL 1116.0 80001163.0 42.0
6235.0 41446 l3 SL 398.0 80001163.0 106.0
6235.0 41446 l3 SL 586.0 80001174.0 42.0
6235.0 41446 l3 SL 416.0 80001195.0 42.0
6235.0 41446 l3 SL 408.0 80001204.0 42.0
6235.0 41446 l3 SL 541.0 80001451.0 170.0
6235.0 41446 l3 SL 479.0 80001518.0 42.0
6235.0 41446 l3 SL 900.0 80001531.0 234.0
6235.0 41446 l3 SL 825.0 80001573.0 106.0
6235.0 41446 l3 SL 365.0 80001573.0 170.0
6235.0 41446 l3 SL 466.0 80001636.0 106.0
6235.0 41446 l3 SL 728.0 80001673.0 234.0
6235.0 41446 l3 SL 579.0 80001967.0 170.0
6235.0 41446 l3 SL 697.0 80002055.0 170.0
6235.0 41446 l3 SL 632.0 80002114.0 42.0
6235.0 41446 l3 SL 378.0 80002218.0 42.0
6235.0 41446 l3 SL 1251.0 80002219.0 42.0
6235.0 41446 l3 SL 653.0 80002293.0 42.0
6235.0 41446 l3 SL 971.0 80002350.0 106.0
6235.0 41446 l3 SL 618.0 80002350.0 170.0
6235.0 41446 l3 SL 948.0 80002367.0 234.0
6235.0 41446 l3 SL 712.0 80002415.0 42.0
6235.0 41446 l3 SL 377.0 80002575.0 106.0
6235.0 41446 l3 SL 531.0 80002593.0 234.0
6235.0 41446 l3 SL 851.0 80002604.0 170.0
6235.0 41446 l3 SL 584.0 80002777.0 234.0
