run burst level channel fpga energy timestamp finetime
6088.0 956506 l1 0.0 SL 26.0 80000019.0 177.0
6088.0 956506 l1 0.0 SL 11.0 80003961.0 112.0
6088.0 956506 l1 0.0 SL 15.0 80006530.0 164.0
6088.0 956506 l1 1.0 SL 6.0 80003349.0 128.0
6088.0 956506 l1 1.0 SL 50.0 80003480.0 206.0
6088.0 956506 l1 1.0 SL 9.0 80006469.0 128.0
6088.0 956506 l1 1.0 SL 7.0 80006530.0 213.0
6088.0 956506 l1 1.0 SL 8.0 80006959.0 85.0
6088.0 956506 l1 1.0 SL 8.0 80006959.0 85.0
6088.0 956506 l1 2.0 SL 7.0 80000091.0 160.0
6088.0 956506 l1 2.0 SL 9.0 80005612.0 179.0
6088.0 956506 l1 2.0 SL 11.0 80005968.0 128.0
6088.0 956506 l1 3.0 SL 8.0 80005055.0 204.0
