 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
34 6235.0 41446 l1 PP2 0.0 34.0 1.0 1.0 1.0 0.0 9.0 87.0 166.0 151.0 80003529.0
38 6235.0 41446 l1 PP2 0.0 38.0 1.0 1.0 1.0 0.0 37.0 129.0 163.0 111.0 80005144.0
75 6235.0 41446 l1 PP2 1.0 23.0 1.0 1.0 1.0 0.0 88.0 220.0 225.0 130.0 80003507.0
88 6235.0 41446 l1 PP2 1.0 36.0 1.0 1.0 1.0 0.0 56.0 177.0 213.0 139.0 80005144.0
101 6235.0 41446 l1 PP2 1.0 49.0 1.0 1.0 1.0 0.0 92.0 228.0 244.0 151.0 80006151.0
139 6235.0 41446 l1 PP2 2.0 31.0 1.0 1.0 1.0 0.0 1.0 29.0 66.0 63.0 80006150.0
175 6235.0 41446 l1 PP2 4.0 12.0 1.0 1.0 1.0 0.0 56.0 145.0 156.0 96.0 80006352.0
205 6235.0 41446 l1 PP2 7.0 5.0 1.0 1.0 1.0 0.0 17.0 136.0 250.0 222.0 80003517.0
235 6235.0 41446 l1 PP1 0.0 11.0 1.0 1.0 1.0 0.0 10.0 58.0 89.0 69.0 80005697.0
265 6235.0 41446 l1 PP1 2.0 11.0 1.0 1.0 1.0 0.0 11.0 49.0 67.0 45.0 80003838.0
276 6235.0 41446 l1 PP1 3.0 6.0 1.0 1.0 1.0 0.0 6.0 40.0 68.0 57.0 80003159.0
310 6235.0 41446 l1 PP1 5.0 6.0 1.0 1.0 1.0 0.0 8.0 47.0 72.0 58.0 80000648.0
348 6235.0 41446 l1 PP1 5.0 44.0 1.0 1.0 1.0 0.0 7.0 61.0 106.0 88.0 80007511.0
396 6235.0 41446 l1 PP1 6.0 45.0 1.0 1.0 1.0 0.0 8.0 65.0 117.0 103.0 80007511.0
424 6235.0 41446 l1 PP1 7.0 16.0 1.0 1.0 1.0 0.0 39.0 104.0 113.0 69.0 80002869.0
438 6235.0 41446 l1 PP1 7.0 30.0 1.0 1.0 1.0 0.0 15.0 83.0 130.0 104.0 80004097.0
449 6235.0 41446 l1 PP1 7.0 41.0 1.0 1.0 1.0 0.0 32.0 86.0 93.0 58.0 80006057.0
466 6235.0 41446 l1 PP1 7.0 58.0 1.0 1.0 1.0 0.0 19.0 83.0 115.0 83.0 80007359.0
478 6235.0 41446 l1 PP0 6.0 2.0 1.0 1.0 1.0 0.0 7.0 64.0 124.0 113.0 80000183.0
514 6235.0 41463 l1 PP2 0.0 19.0 1.0 1.0 1.0 0.0 8.0 48.0 79.0 62.0 80002546.0
538 6235.0 41463 l1 PP2 0.0 43.0 1.0 1.0 1.0 0.0 19.0 124.0 202.0 160.0 80007038.0
555 6235.0 41463 l1 PP2 1.0 12.0 1.0 1.0 1.0 0.0 18.0 136.0 226.0 178.0 80001858.0
581 6235.0 41463 l1 PP2 2.0 6.0 1.0 1.0 1.0 0.0 18.0 120.0 229.0 212.0 80001858.0
634 6235.0 41463 l1 PP2 5.0 6.0 1.0 1.0 1.0 0.0 4.0 72.0 153.0 143.0 80007358.0
670 6235.0 41463 l1 PP1 3.0 8.0 1.0 1.0 1.0 0.0 13.0 57.0 78.0 58.0 80005368.0
683 6235.0 41463 l1 PP1 4.0 11.0 1.0 1.0 1.0 0.0 34.0 137.0 186.0 137.0 80005368.0
745 6235.0 41463 l1 PP1 7.0 11.0 1.0 1.0 1.0 0.0 8.0 61.0 107.0 92.0 80002546.0
812 6235.0 41477 l1 PP2 0.0 9.0 1.0 1.0 1.0 0.0 32.0 110.0 136.0 88.0 80002200.0
832 6235.0 41477 l1 PP2 0.0 29.0 1.0 1.0 1.0 0.0 17.0 62.0 83.0 60.0 80005971.0
846 6235.0 41477 l1 PP2 1.0 5.0 1.0 1.0 1.0 0.0 17.0 72.0 97.0 68.0 80000587.0
849 6235.0 41477 l1 PP2 1.0 8.0 1.0 1.0 1.0 0.0 5.0 41.0 72.0 60.0 80000723.0
894 6235.0 41477 l1 PP2 2.0 16.0 1.0 1.0 1.0 0.0 58.0 193.0 243.0 171.0 80002902.0
948 6235.0 41477 l1 PP2 4.0 6.0 1.0 1.0 1.0 0.0 12.0 83.0 140.0 115.0 80001561.0
1026 6235.0 41477 l1 PP3 2.0 2.0 1.0 1.0 1.0 0.0 6.0 53.0 91.0 73.0 80002280.0
1042 6235.0 41477 l1 PP1 1.0 2.0 1.0 1.0 1.0 0.0 7.0 51.0 83.0 66.0 80005414.0
1093 6235.0 41477 l1 PP1 4.0 5.0 1.0 1.0 1.0 0.0 29.0 91.0 108.0 73.0 80000363.0
1104 6235.0 41477 l1 PP1 4.0 16.0 1.0 1.0 1.0 0.0 15.0 95.0 157.0 131.0 80004546.0
1113 6235.0 41477 l1 PP1 4.0 25.0 1.0 1.0 1.0 0.0 5.0 38.0 72.0 64.0 80006117.0
1212 6235.0 41477 l1 PP1 7.0 30.0 1.0 1.0 1.0 0.0 5.0 39.0 73.0 68.0 80006834.0
1222 6235.0 41477 l1 PP0 4.0 2.0 1.0 1.0 1.0 0.0 23.0 137.0 225.0 185.0 80007049.0
1258 6235.0 41470 l1 PP2 0.0 20.0 1.0 1.0 1.0 0.0 16.0 104.0 161.0 123.0 80003364.0
1268 6235.0 41470 l1 PP2 0.0 30.0 1.0 1.0 1.0 0.0 20.0 62.0 72.0 46.0 80005321.0
1300 6235.0 41470 l1 PP2 1.0 10.0 1.0 1.0 1.0 0.0 13.0 61.0 86.0 63.0 80001357.0
1307 6235.0 41470 l1 PP2 1.0 17.0 1.0 1.0 1.0 0.0 50.0 122.0 124.0 73.0 80002429.0
1324 6235.0 41470 l1 PP2 1.0 34.0 1.0 1.0 1.0 0.0 20.0 95.0 136.0 102.0 80003980.0
1337 6235.0 41470 l1 PP2 1.0 47.0 1.0 1.0 1.0 0.0 9.0 95.0 188.0 170.0 80005475.0
1375 6235.0 41470 l1 PP2 2.0 21.0 1.0 1.0 1.0 0.0 29.0 91.0 110.0 75.0 80003350.0
1401 6235.0 41470 l1 PP2 3.0 6.0 1.0 1.0 1.0 0.0 11.0 73.0 128.0 111.0 80002569.0
1412 6235.0 41470 l1 PP2 3.0 17.0 1.0 1.0 1.0 0.0 39.0 118.0 136.0 87.0 80003350.0
1557 6235.0 41470 l1 PP1 6.0 4.0 1.0 1.0 1.0 0.0 22.0 87.0 117.0 83.0 80001135.0
1568 6235.0 41470 l1 PP1 6.0 15.0 1.0 1.0 1.0 0.0 6.0 58.0 116.0 110.0 80005907.0
1628 6235.0 41454 l1 PP2 0.0 9.0 1.0 1.0 1.0 0.0 17.0 83.0 128.0 104.0 80001609.0
1650 6235.0 41454 l1 PP2 0.0 31.0 1.0 1.0 1.0 0.0 36.0 94.0 96.0 55.0 80004835.0
1662 6235.0 41454 l1 PP2 0.0 43.0 1.0 1.0 1.0 0.0 33.0 121.0 161.0 111.0 80005914.0
1689 6235.0 41454 l1 PP2 1.0 3.0 1.0 1.0 1.0 0.0 3.0 35.0 75.0 66.0 80001370.0
1697 6235.0 41454 l1 PP2 1.0 11.0 1.0 1.0 1.0 0.0 77.0 212.0 236.0 142.0 80002200.0
1705 6235.0 41454 l1 PP2 1.0 19.0 1.0 1.0 1.0 0.0 23.0 117.0 179.0 141.0 80003128.0
1732 6235.0 41454 l1 PP2 1.0 46.0 1.0 1.0 1.0 0.0 7.0 77.0 163.0 157.0 80006212.0
1748 6235.0 41454 l1 PP2 2.0 3.0 1.0 1.0 1.0 0.0 3.0 39.0 80.0 75.0 80000070.0
1766 6235.0 41454 l1 PP2 2.0 21.0 1.0 1.0 1.0 0.0 11.0 66.0 109.0 91.0 80002977.0
1807 6235.0 41454 l1 PP2 3.0 9.0 1.0 1.0 1.0 0.0 36.0 116.0 140.0 93.0 80001422.0
1899 6235.0 41454 l1 PP2 5.0 30.0 1.0 1.0 1.0 0.0 41.0 122.0 145.0 98.0 80004130.0
1916 6235.0 41454 l1 PP2 6.0 8.0 1.0 1.0 1.0 0.0 10.0 46.0 68.0 52.0 80002844.0
1929 6235.0 41454 l1 PP2 6.0 21.0 1.0 1.0 1.0 0.0 8.0 52.0 88.0 74.0 80006039.0
1936 6235.0 41454 l1 PP2 6.0 28.0 1.0 1.0 1.0 0.0 23.0 65.0 70.0 42.0 80007788.0
1944 6235.0 41454 l1 PP2 7.0 6.0 1.0 1.0 1.0 0.0 12.0 67.0 109.0 91.0 80002844.0
1968 6235.0 41454 l1 PP3 1.0 6.0 1.0 1.0 1.0 0.0 39.0 160.0 229.0 178.0 80004596.0
2000 6235.0 41454 l1 PP1 2.0 5.0 1.0 1.0 1.0 0.0 12.0 65.0 104.0 87.0 80003654.0
