 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
13 6235.0 41446 l1 PP2 0.0 13.0 1.0 1.0 1.0 0.0 25.0 116.0 178.0 146.0 80006792.0
80 6235.0 41446 l1 PP1 3.0 4.0 1.0 1.0 1.0 0.0 7.0 56.0 102.0 90.0 80003517.0
162 6235.0 41463 l1 PP2 5.0 4.0 1.0 1.0 1.0 0.0 28.0 118.0 163.0 119.0 80005583.0
199 6235.0 41463 l1 PP1 6.0 2.0 1.0 1.0 1.0 0.0 14.0 52.0 70.0 51.0 80000493.0
274 6235.0 41477 l1 PP1 0.0 3.0 1.0 1.0 1.0 0.0 85.0 225.0 240.0 146.0 80001350.0
291 6235.0 41477 l1 PP1 4.0 2.0 1.0 1.0 1.0 0.0 67.0 185.0 199.0 122.0 80001586.0
311 6235.0 41477 l1 PP1 6.0 2.0 1.0 1.0 1.0 0.0 14.0 54.0 68.0 46.0 80001431.0
363 6235.0 41470 l1 PP2 2.0 6.0 1.0 1.0 1.0 0.0 20.0 68.0 84.0 57.0 80007793.0
404 6235.0 41470 l1 PP1 2.0 1.0 1.0 1.0 1.0 0.0 4.0 36.0 68.0 60.0 80003353.0
481 6235.0 41454 l1 PP2 2.0 2.0 1.0 1.0 1.0 0.0 7.0 47.0 77.0 62.0 80002382.0
539 6235.0 41454 l1 PP1 3.0 2.0 1.0 1.0 1.0 0.0 18.0 57.0 72.0 49.0 80003834.0
548 6235.0 41454 l1 PP1 4.0 7.0 1.0 1.0 1.0 0.0 46.0 164.0 198.0 129.0 80003834.0
553 6235.0 41454 l1 PP1 5.0 3.0 1.0 1.0 1.0 0.0 5.0 48.0 100.0 93.0 80003422.0
