 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
30 6235.0 41446 l1 PP2 1.0 2.0 1.0 1.0 1.0 0.0 32.0 168.0 248.0 186.0 80000279.0
56 6235.0 41446 l1 PP2 2.0 2.0 1.0 1.0 1.0 0.0 13.0 77.0 116.0 87.0 80000279.0
157 6235.0 41446 l1 PP1 4.0 11.0 1.0 1.0 1.0 0.0 56.0 147.0 151.0 87.0 80006735.0
173 6235.0 41446 l1 PP1 5.0 14.0 1.0 1.0 1.0 0.0 31.0 85.0 89.0 51.0 80006735.0
222 6235.0 41446 l1 PP0 4.0 5.0 1.0 1.0 1.0 0.0 6.0 43.0 74.0 61.0 80006181.0
281 6235.0 41463 l1 PP2 5.0 5.0 1.0 1.0 1.0 0.0 65.0 190.0 211.0 131.0 80006310.0
441 6235.0 41477 l1 PP2 5.0 5.0 1.0 1.0 1.0 0.0 17.0 84.0 120.0 89.0 80005033.0
499 6235.0 41477 l1 PP1 4.0 6.0 1.0 1.0 1.0 0.0 34.0 102.0 111.0 67.0 80003363.0
533 6235.0 41477 l1 PP1 7.0 4.0 1.0 1.0 1.0 0.0 2.0 34.0 77.0 74.0 80005613.0
560 6235.0 41477 l1 PP0 7.0 5.0 1.0 1.0 1.0 0.0 64.0 176.0 189.0 112.0 80006178.0
579 6235.0 41470 l1 PP2 2.0 3.0 1.0 1.0 1.0 0.0 16.0 65.0 86.0 61.0 80004468.0
634 6235.0 41470 l1 PP1 1.0 2.0 1.0 1.0 1.0 0.0 11.0 59.0 89.0 67.0 80003364.0
663 6235.0 41470 l1 PP1 5.0 7.0 1.0 1.0 1.0 0.0 28.0 158.0 234.0 174.0 80003993.0
717 6235.0 41454 l1 PP2 1.0 2.0 1.0 1.0 1.0 0.0 12.0 75.0 121.0 96.0 80000063.0
792 6235.0 41454 l1 PP2 7.0 2.0 1.0 1.0 1.0 0.0 27.0 92.0 111.0 74.0 80003136.0
890 6235.0 41454 l1 PP0 6.0 10.0 1.0 1.0 1.0 0.0 15.0 94.0 147.0 115.0 80005185.0
