 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
25 6235.0 41446 l1 PP2 0.0 25.0 1.0 1.0 1.0 0.0 45.0 116.0 119.0 69.0 80001091.0
62 6235.0 41446 l1 PP2 0.0 62.0 1.0 1.0 1.0 0.0 13.0 85.0 138.0 115.0 80003511.0
176 6235.0 41446 l1 PP2 1.0 10.0 1.0 1.0 1.0 0.0 32.0 69.0 74.0 46.0 80000935.0
219 6235.0 41446 l1 PP2 1.0 53.0 1.0 1.0 1.0 0.0 35.0 99.0 110.0 68.0 80004463.0
242 6235.0 41446 l1 PP2 1.0 76.0 1.0 1.0 1.0 0.0 18.0 82.0 116.0 85.0 80006273.0
287 6235.0 41446 l1 PP2 2.0 10.0 1.0 1.0 1.0 0.0 24.0 80.0 96.0 64.0 80002189.0
306 6235.0 41446 l1 PP2 2.0 29.0 1.0 1.0 1.0 0.0 13.0 61.0 92.0 73.0 80004819.0
348 6235.0 41446 l1 PP2 3.0 8.0 1.0 1.0 1.0 0.0 58.0 188.0 227.0 150.0 80002189.0
375 6235.0 41446 l1 PP2 3.0 35.0 1.0 1.0 1.0 0.0 18.0 89.0 128.0 94.0 80006359.0
432 6235.0 41446 l1 PP2 5.0 3.0 1.0 1.0 1.0 0.0 36.0 115.0 142.0 100.0 80002311.0
451 6235.0 41446 l1 PP2 5.0 22.0 1.0 1.0 1.0 0.0 9.0 57.0 99.0 84.0 80005697.0
468 6235.0 41446 l1 PP2 6.0 7.0 1.0 1.0 1.0 0.0 26.0 73.0 79.0 47.0 80002311.0
526 6235.0 41446 l1 PP1 1.0 10.0 1.0 1.0 1.0 0.0 6.0 57.0 112.0 103.0 80003859.0
535 6235.0 41446 l1 PP1 2.0 5.0 1.0 1.0 1.0 0.0 41.0 117.0 132.0 85.0 80000980.0
646 6235.0 41446 l1 PP1 5.0 9.0 1.0 1.0 1.0 0.0 37.0 95.0 96.0 55.0 80000556.0
652 6235.0 41446 l1 PP1 5.0 15.0 1.0 1.0 1.0 0.0 28.0 105.0 138.0 98.0 80001130.0
787 6235.0 41446 l1 PP1 6.0 69.0 1.0 1.0 1.0 0.0 76.0 192.0 196.0 113.0 80002786.0
810 6235.0 41446 l1 PP1 6.0 92.0 1.0 1.0 1.0 0.0 7.0 56.0 95.0 77.0 80003738.0
816 6235.0 41446 l1 PP1 6.0 98.0 1.0 1.0 1.0 0.0 10.0 51.0 74.0 55.0 80004630.0
904 6235.0 41446 l1 PP1 7.0 12.0 1.0 1.0 1.0 0.0 7.0 94.0 194.0 177.0 80000199.0
